link_id,Oneway,Speed,DriveTime,Length_Miles,RoadClass,AADT,start_node,end_node,ft,lanes,sl,med,at,terrain,capacity
127273,B,25,0.15798685728000003,0.0658278572,"11 Other Local, Neighborhood, Rural Roads",NA,118686,118687,Local,1,25,None,Suburban,level,800
127285,B,25,0.07188576624000001,0.0299524026,"11 Other Local, Neighborhood, Rural Roads",NA,135024,135141,Local,1,25,None,Suburban,level,800
127288,B,25,0.21877845168,0.0911576882,"11 Other Local, Neighborhood, Rural Roads",NA,135088,135086,Local,1,25,None,Suburban,level,800
127328,B,25,0.1149974436,0.0479156015,"11 Other Local, Neighborhood, Rural Roads",NA,128514,128515,Local,1,25,None,Suburban,level,800
127337,B,25,0.20543442168,0.0855976757,"11 Other Local, Neighborhood, Rural Roads",NA,127717,127599,Local,1,25,None,Suburban,level,800
127345,B,25,0.14411235168,0.0600468132,"11 Other Local, Neighborhood, Rural Roads",NA,132601,132585,Local,1,25,None,Suburban,level,800
127360,B,40,0.13346547105,0.0889769807,"3 US Highways, Unseparated",37000,136845,136937,PrArterial,2,50,NonRestrictive,Suburban,level,2160
127361,B,25,0.30274021560000003,0.1261417565,"11 Other Local, Neighborhood, Rural Roads",NA,132080,132057,Local,1,25,None,Suburban,level,800
127424,B,25,0.27281835264,0.1136743136,"11 Other Local, Neighborhood, Rural Roads",NA,126029,126024,Local,1,25,None,Suburban,level,800
127455,B,25,0.07743753119999999,0.032265638,"11 Other Local, Neighborhood, Rural Roads",NA,124753,124762,Local,1,25,None,Suburban,level,800
127461,B,25,0.26984697984,0.1124362416,"11 Other Local, Neighborhood, Rural Roads",NA,130492,130497,Local,1,25,None,Suburban,level,800
127462,B,25,0.14892620087999997,0.0620525837,"11 Other Local, Neighborhood, Rural Roads",NA,125416,125180,Local,1,25,None,Suburban,level,800
127463,B,25,0.243554736,0.10148114,"11 Other Local, Neighborhood, Rural Roads",NA,126194,126057,Local,1,25,None,Suburban,level,800
127474,B,25,0.14937911736,0.0622412989,"11 Other Local, Neighborhood, Rural Roads",NA,128250,128179,Local,1,25,None,Suburban,level,800
127475,B,25,0.0738516156,0.0307715065,"11 Other Local, Neighborhood, Rural Roads",NA,124998,124828,Local,1,25,None,Suburban,level,800
127476,B,25,0.19266217079999998,0.0802759045,"11 Other Local, Neighborhood, Rural Roads",NA,132497,132500,Local,1,25,None,Suburban,level,800
127494,B,25,0.11931078144000001,0.0497128256,"11 Other Local, Neighborhood, Rural Roads",NA,131636,131790,Local,1,25,None,Suburban,level,800
127520,B,25,0.2293728744,0.095572031,"11 Other Local, Neighborhood, Rural Roads",NA,128655,128777,Local,1,25,None,Suburban,level,800
127524,B,25,0.2198746752,0.091614448,10 Other Federal Aid Eligible Local Roads,18000,132280,132049,Local,1,25,None,Suburban,level,800
127556,B,25,0.22709663424,0.0946235976,"11 Other Local, Neighborhood, Rural Roads",NA,132739,132745,Local,1,25,None,Suburban,level,800
127557,B,25,0.2594608752,0.108108698,10 Other Federal Aid Eligible Local Roads,2500,131054,130827,Local,1,25,None,Suburban,level,800
127566,B,25,0.33223559568,0.1384314982,10 Other Federal Aid Eligible Local Roads,860,123407,123574,Local,1,25,None,Suburban,level,800
127615,B,25,0.30838424496,0.1284934354,"11 Other Local, Neighborhood, Rural Roads",NA,125480,125477,Local,1,25,None,Suburban,level,800
